ID_nest	species1_morpho	genus1_morpho	family1_morpho	order1_morpho	species2_morpho	genus2_morpho	family2_morpho	order2_morpho	species1_visual	genus1_visual	family1_visual	order1_visual	species2_visual	genus2_visual	family2_visual	order2_visual
RU5_B.112	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	o:Hymenoptera	NA	NA	NA	NA
RU5_B.124_1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	o:Hymenoptera	NA	NA	NA	NA
RU5_B.139	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	f:Chalicidoidea	o:Hymenoptera	NA	NA	NA	NA
RU5_B.21	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	o:Hymenoptera	NA	NA	NA	NA
RU5_B.26_1	NA	NA	NA	NA	NA	NA	NA	NA	s:Melittobia_acasta	g:Melittobia	f:Eulophidae	o:Hymenoptera	NA	NA	NA	NA
RU5_B.70	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	o:Hymenoptera	NA	NA	NA	NA
RU5_B.72	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	o:Hymenoptera	NA	NA	NA	NA
RUb_B.16	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	o:Hymenoptera	NA	NA	NA	NA
RUb_B.7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	o:Hymenoptera	NA	NA	NA	NA
RUd_A.12	s:Sapygina_decemguttata	g:Sapygina	f:Sapygidae	o:Hymenoptera	NA	NA	NA	NA	NA	NA	NA	o:Hymenoptera	NA	NA	NA	NA
RUd_A.16	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	o:Hymenoptera	NA	NA	NA	NA
RUd_A.17	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	o:Hymenoptera	NA	NA	NA	NA
RUd_A.19	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	o:Hymenoptera	NA	NA	NA	NA
RUd_A.21	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	o:Hymenoptera	NA	NA	NA	NA
RUd_A.47	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	o:Hymenoptera	NA	NA	NA	NA
RUd_B.10	s:Heriades_truncorum	g:Heriades	f:Megachilidae	o:Hymenoptera	NA	NA	NA	NA	NA	NA	NA	o:Hymenoptera	NA	NA	NA	NA
RUd_B.35	s:Heriades_truncorum	g:Heriades	f:Megachilidae	o:Hymenoptera	NA	NA	NA	NA	NA	NA	NA	o:Hymenoptera	NA	NA	NA	NA
RUd_B.7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	o:Hymenoptera	NA	NA	NA	NA
ZI2_A.1	s:Trypoxylon_clavicerum	g:Trypoxylon	f:Crabronidae	o:Hymenoptera	NA	NA	f:Ichneumonoidea	o:Hymenoptera	NA	NA	f:Spheciformes	o:Hymenoptera	NA	NA	NA	NA
ZI2_B.12	s:Trypoxylon_clavicerum	g:Trypoxylon	f:Crabronidae	o:Hymenoptera	NA	NA	NA	NA	NA	NA	f:Spheciformes	o:Hymenoptera	NA	NA	NA	NA
ZIa_B.7	s:Trypoxylon_clavicerum	g:Trypoxylon	f:Crabronidae	o:Hymenoptera	NA	NA	f:Ichneumonoidea	o:Hymenoptera	NA	NA	f:Spheciformes	o:Hymenoptera	NA	NA	NA	NA
ZIa_B.8	s:Trypoxylon_clavicerum	g:Trypoxylon	f:Crabronidae	o:Hymenoptera	NA	NA	f:Ichneumonoidea	o:Hymenoptera	NA	NA	f:Spheciformes	o:Hymenoptera	NA	NA	NA	NA
ZIc_A.37	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	f:Ichneumonidae	o:Hymenoptera	NA	NA	f:Spheciformes	o:Hymenoptera
ZIc_A.39	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	f:Ichneumonidae	o:Hymenoptera	NA	NA	f:Spheciformes	o:Hymenoptera
ZIc_B.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	f:Ichneumonidae	o:Hymenoptera	NA	NA	f:Spheciformes	o:Hymenoptera
ZIc_B.9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	f:Ichneumonidae	o:Hymenoptera	NA	NA	f:Spheciformes	o:Hymenoptera
